song name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Harvester Of Sorrow,0.658,0.842,-8.851,0.0397,0.000207,0.0771,0.316,0.643,93.115,345707,4
From The Ritz To The Rubble,0.216,0.882,-5.176,0.0439,0.00147,0.0,0.308,0.656,189.286,193427,4
Red Light,0.534,0.837,-3.938,0.0407,0.000167,0.649,0.189,0.903,103.533,191693,3
ivy,0.515,0.545,-9.277,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,260440,4
Battery,0.481,0.928,-8.799,0.0672,0.00022,0.558,0.106,0.427,96.699,312360,4
Teddy Picker,0.637,0.963,-5.116,0.0882,0.000286,0.000889,0.0449,0.823,150.1,165000,4
Between Love & Hate,0.455,0.603,-4.919,0.0255,6.34e-05,0.53,0.0966,0.539,104.179,196573,4
tolerate it,0.316,0.361,-10.381,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,245440,5
King Nothing,0.527,0.907,-5.772,0.0377,8.39e-05,0.00755,0.0891,0.364,112.089,329760,4
Pretty Visitors,0.244,0.896,-5.576,0.464,0.0614,2.83e-05,0.127,0.142,83.354,220507,4
When It Started,0.708,0.64,-8.381,0.0339,0.257,0.00576,0.134,0.921,132.016,174533,4
Mastermind,0.662,0.357,-14.064,0.154,0.553,0.00129,0.0837,0.124,125.966,191039,4
Bir Daha,0.686,0.286,-10.749,0.0305,0.539,0.0885,0.135,0.133,119.981,285860,4
What If You Were Right The First Time?,0.258,0.978,-4.464,0.139,4.77e-05,0.0219,0.0454,0.367,145.866,182920,4
